budget_normalized,urgency_score,engagement_score,property_match_score,response_time_score,communication_quality_score,location_preference_match,lead_score_target,tier
0.774,82.9221,45.5476,87.3659,51.8066,34.7555,0.1367,56.82,WARM
0.4389,59.4096,11.8858,24.6057,35.3634,10.2807,0.7992,41.8,COLD
0.8586,24.4855,56.9173,48.8964,7.5056,30.2068,0.9882,47.01,COLD
0.6974,74.5675,15.6429,2.9717,99.0972,80.6706,0.3604,50.81,WARM
0.0942,8.4481,6.0958,0.888,17.4774,49.348,0.8653,18.87,COLD
0.9756,77.4418,49.8668,70.5453,25.5308,17.1573,0.7625,69.6,WARM
0.7611,58.9985,65.5373,11.8294,23.5916,31.2632,0.9116,52.56,WARM
0.7861,11.075,85.4147,54.7808,90.7941,95.3581,0.4244,69.63,WARM
0.1281,7.9506,78.2836,69.6007,76.3688,43.1957,0.1013,37.07,COLD
0.4504,75.0836,85.7241,3.2235,45.733,44.1599,0.1184,52.49,WARM
0.3708,29.2936,76.0069,44.8741,95.5423,15.307,0.7632,54.62,WARM
0.9268,88.9302,70.3239,68.4152,5.2783,30.4554,0.8633,65.47,WARM
0.6439,76.2073,1.0138,88.9731,89.367,81.4686,0.457,56.98,WARM
0.8228,69.819,62.6102,29.923,6.0427,78.6199,0.0596,60.4,WARM
0.4434,27.8606,12.0482,97.4217,39.1131,43.5499,0.0667,42.46,COLD
0.2272,70.8945,5.8667,84.4541,5.4005,89.3652,0.5986,46.42,COLD
0.5546,94.8148,15.6412,65.0635,99.8969,38.0259,0.9186,52.62,WARM
0.0638,9.156,82.3292,39.1926,91.439,86.433,0.3996,30.81,COLD
0.8276,32.6163,74.3849,71.111,58.4799,3.1566,0.6506,63.53,WARM
0.6317,23.4672,94.8772,81.6193,21.7845,34.723,0.542,51.94,WARM
0.7581,39.325,97.8976,30.33,27.6778,85.5068,0.8898,59.21,WARM
0.3545,74.2333,89.3284,99.283,44.9543,90.131,0.8324,59.06,WARM
0.9707,47.4243,13.2926,90.8619,32.278,75.6424,0.1993,65.95,WARM
0.8931,57.0731,87.8383,48.5501,2.1314,66.9866,0.6775,67.26,WARM
0.7784,31.4155,83.8637,72.283,65.6256,81.5505,0.8475,69.63,WARM
0.1946,14.1289,87.1086,52.4009,61.3428,70.7558,0.9302,47.7,COLD
0.4667,26.6934,15.1686,76.0931,90.4311,25.4221,0.5899,32.74,COLD
0.0438,85.968,11.6792,82.6982,47.6854,46.6237,0.1759,37.53,COLD
0.1543,60.2417,92.3809,2.3223,34.4709,66.0705,0.5582,42.53,COLD
0.683,37.7989,17.3827,7.9132,51.1517,58.7803,0.6658,36.55,COLD
0.7448,78.9906,36.8622,33.6467,19.4695,88.5098,0.2725,56.28,WARM
0.9675,6.4457,45.5985,91.7614,62.554,47.3845,0.973,60.59,WARM
0.3258,25.3891,12.4443,39.8274,77.0033,17.7987,0.2293,36.2,COLD
0.3705,23.0103,2.0634,88.7512,15.3462,21.4582,0.9114,23.87,COLD
0.4696,98.5365,99.409,46.2434,31.8383,84.6057,0.4252,69.86,WARM
0.1895,70.6099,87.6657,28.8853,86.7801,0.8721,0.0006,53.05,WARM
0.1299,61.7786,91.2338,90.0645,50.5532,86.913,0.5433,56.49,WARM
0.4757,0.4985,28.4563,56.0671,53.1837,5.5588,0.6283,31.0,COLD
0.2269,18.431,22.0102,36.0484,72.2408,39.1658,0.8694,32.64,COLD
0.6698,63.5541,42.5867,4.4407,57.7893,80.0176,0.5406,52.48,WARM
0.4372,37.9719,45.3319,11.0933,6.958,40.7615,0.0941,37.4,COLD
0.8327,92.428,0.5599,13.931,80.3962,82.2348,0.9268,58.24,WARM
0.7003,76.4724,77.9253,36.4836,92.2836,10.0299,0.5654,62.53,WARM
0.3124,44.7384,99.6667,60.7333,5.3277,51.1542,0.2715,45.58,COLD
0.8323,74.9515,52.8691,30.759,12.125,58.2474,0.8989,59.26,WARM
0.8048,97.5404,38.8259,6.5528,70.1975,89.0869,0.1209,64.8,WARM
0.3875,46.0981,39.2752,26.4809,60.4474,9.3621,0.0975,32.75,COLD
0.2883,64.2526,9.6077,40.8682,38.2517,33.8601,0.535,38.23,COLD
0.6825,91.8665,26.6162,99.227,53.9249,65.9348,0.6249,73.97,WARM
0.1398,24.8675,50.2133,39.2987,70.3339,97.993,0.511,37.94,COLD
0.1999,88.6558,43.1848,8.9195,50.4476,84.8274,0.929,42.59,COLD
0.0074,9.7545,54.5035,58.1115,14.0188,84.6495,0.2628,27.8,COLD
0.7869,64.8448,84.9066,91.964,8.9436,51.7183,0.9902,61.09,WARM
0.6649,78.2838,22.5242,78.6696,43.8859,56.4299,0.0193,68.64,WARM
0.7052,61.4606,2.7664,83.6218,92.2885,85.858,0.1185,58.59,WARM
0.7807,49.5535,3.8225,92.8232,55.7779,86.9626,0.1857,54.1,WARM
0.4589,61.7347,13.4169,63.6544,35.822,80.2275,0.0796,42.02,COLD
0.5687,15.1664,57.0483,99.4923,90.8706,81.8571,0.4382,58.92,WARM
0.1398,21.5571,80.8185,3.3282,38.8632,87.963,0.8654,33.68,COLD
0.1145,26.9899,88.6806,83.484,50.9146,11.3782,0.8208,51.94,WARM
0.6684,59.7779,63.5113,85.7011,11.6499,29.2639,0.7448,52.07,WARM
0.4711,44.1901,40.3143,91.67,73.7401,97.6114,0.0074,51.87,WARM
0.5652,24.4476,15.4515,47.8169,70.0303,54.4776,0.8657,44.49,COLD
0.765,88.2809,40.1418,78.7756,79.4244,17.6464,0.3965,65.8,WARM
0.6347,37.3922,33.2415,19.508,32.5191,50.3056,0.7316,40.09,COLD
0.5536,44.6032,87.0026,60.313,43.6053,64.5784,0.7269,62.82,WARM
0.5592,40.9701,48.6719,35.8645,16.8342,82.8222,0.1775,47.94,COLD
0.304,18.1943,22.6196,59.6174,96.4505,81.2177,0.5154,42.24,COLD
0.0308,73.1627,28.8801,67.5561,8.6077,4.9241,0.9262,25.64,COLD
0.4367,44.8458,13.647,34.7069,64.9013,45.3525,0.263,30.51,COLD
0.2146,1.6257,91.8585,21.6238,70.5257,2.0569,0.715,31.06,COLD
0.4085,96.4014,5.0346,32.1688,15.7736,88.8156,0.9581,40.36,COLD
0.8534,81.5764,1.2846,66.3957,36.5323,17.3906,0.3606,54.6,WARM
0.2339,72.3559,18.2989,67.6874,4.3127,62.4875,0.3876,31.82,COLD
0.0583,86.9092,81.0874,74.1317,55.6608,57.0618,0.4526,55.21,WARM
0.2814,90.6807,52.3467,12.6537,99.4938,62.5529,0.809,52.88,WARM
0.2936,33.749,62.5843,81.8517,42.9885,56.3417,0.4393,48.62,COLD
0.6619,61.0959,35.7732,68.8148,99.0008,71.5589,0.4862,65.29,WARM
0.557,60.8808,6.8678,3.0505,12.6225,62.611,0.2223,33.82,COLD
0.7839,26.73,85.6158,33.5598,39.2454,9.03,0.9883,48.59,COLD
0.6643,22.1952,19.1894,46.6711,90.1965,36.6768,0.8924,50.8,WARM
0.4064,11.3907,3.3059,36.0617,87.6695,54.6593,0.6003,31.14,COLD
0.814,65.9314,57.2704,11.7417,32.3592,32.5197,0.9606,60.34,WARM
0.167,78.0919,8.3289,20.7346,67.8611,76.0331,0.687,37.33,COLD
0.0227,76.0953,9.5762,2.4561,88.616,31.7898,0.9591,30.03,COLD
0.09,31.6275,80.0377,9.3077,76.6877,82.8684,0.1615,41.24,COLD
0.7224,20.526,49.161,26.63,62.8476,14.6734,0.2255,44.9,COLD
